,URL
10,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0kDt8zzzzzzzzzzzzzzzzzzzzzzzzz&datanum=11016478&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
11,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0jcutzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10874359&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
12,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0jStVzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10835833&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
13,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0jOMazzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10818416&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
14,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0iqXkzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10688412&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
15,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0imxYzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10674636&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
16,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0imBtzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10671681&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
17,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0iY0Gzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10617144&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
18,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0iVOZzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10607119&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
19,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0iJ2gzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10559634&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
