,0
97,잘쓸게욤
98,집에 와서 열어 보더니 깨졌네요ㅠㅠ박스위에서 파손주위 붙여있더라도 깨졌네요ㅠㅠ
99,가격착하고 역시 로켓배송굿입니다!!
100,로켓배송이라 주문한 다음날 바로 도착했네요 근데 포장은 터져서 왔네요 그래서 별을 두개 뺐어요
101,환경을 생각해서 구매했습니당 잘 쓸게요 로켓배송 굿 상품 굿
102,좋아요세정력향도그닥진하지않구요무엇보다로켓배송이라빨리도착하구요흘리거나구겨진곳없이잘받았어요감사합니다
103,빨래냄새가 나지 않아 좋아요전 테크만 오래써와서인지 테크가 좋아요포장 배송 완벽합니다
104,늘 주문해서 쓰는 상품입니다저렴하고 로켓배송이라 좋네요
105,잘 받았어요저렴하게 잘 쓸듯배송도 빠르고 만족합니다
106,배송도 빠르고 포장상태 양호 파손도 없고 좋았음
107,배송굿
108,배송빨랐고 저렴하게 잘 샀어요
109,포장을 좀더 신경썼음 좋겠어요
110,조아요
111,저렴하고 배송도 빠르고 좋습니다
112,빠른배송
113,넘 좋아요
114,배송도 빠르고 택배기사님이 친절하셔서 짱!
115,아주 좋습니다 역시 배송은 로켓 배송!!
116,빠르고좋아요
117,향기짱좋고 배송짱빠름
118,잘받았어요
119,빠른 배송 정말 감사합니다
120,배송이 허루가 채 안 돼서 왔어요 너뮤 좋아요
121,빠른 배송 감사합니다
122,조아요
123,배송좋구요상품도 좋네요
124,진드기 퇴치 기능이 있는 세제가 여러 개 있는데 일단 아토 어쩌구 하는 건 싸서 의심스럽고 묽다고 하니 그만큼 안 싸다는 거구요 비트꺼는 화학품으로 진드기를 잡는데 테크는 계피 성분으로 진드기를 잡더라구요요즘 가습기 성분도 그렇고 치약에 트리클로산도 문제가 많은데 진드기 잡겠다고 화학품은 또 아니잖아요계피 스프레이도 따로 만들어 뿌리는데 세제도 계피 성분이 안심이 되네요다만 색상이 진한 파란색이라서 빨래에 이염은 되지 않을까 걱정이긴 한데 세제통에서 물이랑 섞여 나오니 믿어볼랍니다묽지 않고 진득하니 거품도 잘 나고 깨끗한 향이 나서 마음에 들어요
125,집먼지 진드기를 제거하려면 60도이상 뜨거운물로 삶아야하지만 테크를 사용하면 찬물에서도 충분히 제거가능하다기에 만족하고 씁니다 다만 실제 실험자료나 근거를 찾아볼수없기에 좀 찜찜하기도해요 이거랑 진드기패치 그리고 진드기 스프레이 3가지로 평생을 괴롭힌 알레르기비염에서 좀금 벗어낫네요
