,0
19,좋아요!!!여름인데다 원룸이라 진짜 빨래 드럽게 안마르는데확실히 일반세제보다 꿉꿉한 냄새 덜납니다 ㅋㅋ두번째 구입해서 써요원래 비염때문에 거의 2년동안 테크 진드기제거만 썼는데얼룩 제거 성능은 비슷한 것 같고사실 옷에 심한 얼룩 묻은 적이 별로 없어서 잘 모르겠지만 음식물 살짝씩 튄거는 잘 지워지는 것 같슴당그 제품도 좋고 이것도 좋아요 bd 테크최고 ㅎㅎㅎ
20,전부터 계속 사용하던 세탁세제에용구석에 리필 한개 남아있었는데다른 물건에 가려져서 못보고또 네개를 구입해버렸어요ㅋㅋㅋㅋ자취생인데 리필 5개라니 1년 넘게 쓸 것 같아요저는 섬유유연제 다우니 하늘색깔이랑 같이 사용하고요항상 집안에서 빨래 말리는데세제 덕인지 유연제 덕인지 아님 둘 다인지꿉꿉한 냄새 전혀 없고 좋습니다! ㅎㅎ
21,세제가 사실 뭐 거기서 거기죠 ㅋㅋㅋ아무거나 써도 다 잘 빨립니다하지만 중요한 건 가격저렴하게 잘 산 거 같습니다근데 많은 리필제품을 써보면서 느끼는 건데과연 써있는 용량 그대로일까요?2리터짜리인데 3리터짜리 기존용기에 부었더니절반에 가까스로 찬 거 같네요음ㅋ그래도 싸니 만족하고 삽니다
22,원룸에 사는 대학생입니다싼방을 구하느라 1층에 해가 안드는 방을 구했는데빨래를 해도 특유의 냄새때문에 너무 스트레스 였습니다세탁기 두고 빨래방가서 빨래하고 그랬었는데이거 쓰니깐 꿉꿉한 냄새 안납니다 ㅠ여기서 사는동안 이 세제만 쓸 예정입니다꿉꿉한 냄새실내건조 목적이신분 강추합니다
23,아무리깨끗하게 빨아도 섬유유연재다니 써도  방에서 말리면 괜히 꿉꿉한것같고 섬유유연제냄새도 별로 안나서 바꿨는데ㅣ 완젼 만족해요세탁조청소 깨끗히하고  바싹 말린뒤에 세제넣고 과산 넣고 빨래하면 삶아빤듯 깨끗하고 옷에서 냄새안나요특히 수건빨때 정말 표시가 확 날꺼에요
24,미세먼지가 나빠서 베란다에 빨래 널어도 창문 못여는날이 많고 실내건조 할 때도 있는데 냄새나지 않고 세척력도 엄청 좋아요오피스텔에 있을 때 부터 사용 중인데 아파트로 이사하고도 이제품만 씁니다퍼실이랑 고민했는데 이게 더 말랐을 때 느낌이 좋네요 눅눅하지 않고 냄새도 안나구요
25,원룸이나 창문작은 방에서는 이 세제 정말 필수입니다 ㅠ햇빛건조없이도 빨래에서 꼬릿한 냄새가 안나요!드럼세탁기인데도 원래 일반용 쓰다가 이번에 다 떨어져서 드럼용을 샀는데 전보다 건조했을때 빨래가 더 부드럽달까요? 섬유유연제를 듬뿍넣은것 마냥 훨씬 좋네요 ㅎㅎ
26,세제랑 기저귀로 사건 터진 회사가 많아서ㅜㅡㅜ믿고 쓸만한데가 없네요제가 알기론 엘지는 아직 괜찮더라구요비오는날 세탁해도 꿉꿉한 냄새 안나서 이제품은 여름엔 필수인듯 저는 비오는날엔 빨래양을 반으로 줄이고최대한 펼쳐서 널어요ㅋ
27,재구매 입니다이사하고 방에 널어놓은 빨래가 마르지않아 냄새로 고생하고 있다 발견한 제품입니다재구매를 했다는건 그만한 효과를 보고 있어서 입니다제품 특유의 향은 남아 있지만 아무 무리없이 사용하고 있습니다좋은 제품 감사합니다
28,저는 일반 세탁기 사용하는데 드럼용으로 잘못구매한거있죠ㅠ ㅠ 검색해보니 드럼용 써도 크게 문제되지 않는다해서 빨래해봤습니다 반품도 번거롭고해서요 그런데 빨래가 되는덴 문제 없네요 그래서 맘 편히 사용하겠습니다 
29,배송 빠르고 가격 저렴하고아직 써보진 않았지만장마철 빨래 쿰쿰한 냄새 나는거대비해서 사놨는데든든합니다
